Agent Name,ID,Wins,Losses,Errors,Total Games,Win %,Non-Error Win %,ELO
MCTSProMax2.0MeowMeow:3,329817259,46,13,3,59,78.0%,82.1%,1677
OpeningBook(12) + FlexibleTimeMCTSAgent,329291116,35,20,5,55,63.6%,70.0%,1618
Taiwo,329747787,33,26,3,59,55.9%,58.9%,1602
Agent 328271455,328271455,25,23,14,48,52.1%,73.5%,1564
Lamine Yamal,3135641,29,23,8,52,55.8%,65.9%,1557
MCTS,3135635,32,22,8,54,59.3%,69.6%,1556
MCTS,329500132,31,25,3,56,55.4%,58.5%,1556
Funky Time,3198650,29,24,8,53,54.7%,64.4%,1543
Opening book + simple ids,329730440,37,20,3,57,64.9%,68.5%,1542
ExplorerAgent with Smart Rollout,329350026,21,25,15,46,45.7%,67.7%,1536
Meowgent,330472995,33,27,1,60,55.0%,55.9%,1534
Final Agent,330454017,33,28,1,61,54.1%,55.0%,1515
HybriMind,330470711,32,29,1,61,52.5%,53.3%,1514
Opening book + transposition table + better rollout MCTS,329366470,20,27,15,47,42.6%,62.5%,1513
MCTS,329995931,29,29,3,58,50.0%,52.7%,1512
Agent 1274548,1274548,32,26,2,58,55.2%,57.1%,1509
Agent 328964243,328964243,19,27,15,46,41.3%,61.3%,1498
<agents.MCTSAgent object at 0x100763610>,328011679,31,23,8,54,57.4%,67.4%,1498
Silly Goose Agent,2259735,26,27,8,53,49.1%,57.8%,1496
Lee Sedol,330001603,22,25,3,47,46.8%,50.0%,1496
MCTS,3166202,28,25,8,53,52.8%,62.2%,1492
Hunter Biden's Laptop,329841275,23,30,3,53,43.4%,46.0%,1486
Hybrid Agent id; co 5,3199411,25,29,8,54,46.3%,54.3%,1479
Mungnay,330103170,27,33,2,60,45.0%,46.6%,1468
AZP Parallel MCTS,330122352,29,31,2,60,48.3%,50.0%,1467
MCTS ON ROIDS,329635623,26,32,3,58,44.8%,47.3%,1465
Opening book + transposition table + better rollout MCTS,329083655,17,29,14,46,37.0%,53.1%,1463
IterativeDeepening + MCTS Value Net,329504922,30,28,3,58,51.7%,54.5%,1448
KingYonams,330500657,30,31,1,61,49.2%,50.0%,1435
Final,330096190,8,29,25,37,21.6%,66.7%,1377
MCTS,330325440,7,29,26,36,19.4%,70.0%,1352
Agent 330505447,330505447,1,31,30,32,3.1%,50.0%,1214
